text;label
Aplikasi ini sangat bagus dan membantu pekerjaan saya sehari-hari.;1
Pelayanan dari admin sangat ramah dan responnya cepat sekali.;1
Fitur pencariannya sangat akurat dan mudah digunakan oleh pemula.;1
Saya suka sekali dengan desain UI baru yang bersih dan modern.;1
Terima kasih NoLimit, aplikasinya sangat bermanfaat buat bisnis saya.;1
Bagaimana cara memperbarui profil pengguna di aplikasi ini?;0
Saya ingin bertanya apakah layanan ini tersedia selama 24 jam sehari?;0
Fitur baru ini dirilis pada pembaruan versi 2.5 kemarin sore.;0
Aplikasi ini membutuhkan koneksi internet untuk dapat sinkronisasi data.;0
Pengguna dapat mengunduh laporan bulanan dalam format PDF.;0
Sangat kecewa dengan update terbaru, aplikasinya sering crash dan lambat.;-1
Harganya terlalu mahal untuk fitur yang seminimal ini. Tidak recommended.;-1
Sistem error terus dari pagi, tolong segera diperbaiki dong!;-1
Proses loading-nya lama banget, bikin habis waktu saja.;-1
Sudah bayar premium tapi fiturnya masih sering terkunci, parah banget.;-1
